,body,lang,translation
0,"Es la sensación que me ha transportado esta experiencia. Por supuesto el producto es excelente y el trabajo en las elaboraciones se nota, no se trata de una cocina con muchos adornitos. Hay mucho trabajo a realizar para llegar a construir estos platos, pero...no sé, no me ha convencido. Quizás por ser Agosto pero no he encontrado sabores en los platos que me volvieran loco y un servicio demasiado robótico, en exceso estirado.",es,"It is the feeling that this experience has carried me. Of course the product is excellent and the work on the dishes shows, it is not a kitchen with many decorations. There's a lot of work to be done to get these dishes built, but...i don't know, he didn't convince me. Maybe it's August but I haven't found flavors in the dishes that drove me crazy and too much robotic, overstretched service."
1,"Es una gran experiencia y nos ha gustado mucho. Algunos platos sorprendentes como el calamar, las almejas, el bloody mary o el salmorejo. Otros platos nos han decepcionado bastante como la sopa de cebolla o el atún, creo que no es un buen modo de terminar este tipo de menú, ya que pienso que debería ir de menos a más siempre.El fallo mas grande pero es oir al cocinero gritar frases como ""a vuestra pu ta casa"" a los trabajadores, bastante desagradable, desde donde estábamos sentados se escuchaba todo.",es,"It's a great experience and we really liked it. Some amazing dishes like squid, clams, bloody mary or salmorejo. Other dishes have disappointed us quite like onion soup or tuna, I think it is not a good way to finish this type of menu, since I think it should go from less to more always.The biggest mistake but it is to hear the cook shout phrases like ""to your fucking house"" to the workers, quite unpleasant, from where we were sitting everything was heard."
2,"Comer en Abac es una experiencia vital que recomiendo a todos los amantes de la gastronomía.Nos sorprendió y gustó todo, desde el principio hasta el final. Una explosión de sabores en platos muy originales que se presentan de las formas más curiosas e interesantes. El personal es muy amable y conoce perfectamente tanto el oficio como los platos que sirven. En resumen: una maravilla.Si tengo que poner una pega, diría que el menú actual se centra demasiado en el producto de mar. Son sabores y texturas muy potentes y especiales que pueden no gustar a todos, o ser difíciles de entender para algunos.No obstante, nos encantó y salimos muy contentos.El precio: el esperable para 3 estrellas Michelin.",es,"Eating at Abac is a vital experience that I recommend to all food lovers. We were surprised and liked everything from the beginning to the end. An explosion of flavors in very original dishes that are presented in the most curious and interesting ways. The staff is very friendly and knowledgeable of both the trade and the dishes they serve. In short: a wonder.If I have to put a hitch, I would say that the current menu focuses too much on seafood. They are very powerful and special flavors and textures that may not like everyone, or be difficult for some to understand.Nevertheless, we loved it and came out very happy.The price: the expected 3 Michelin stars."
3,"Una pena.La comida sin pena ni gloria, de un 3 estrellas esperas que los platos te insten a querer repetirlos,que recuerdes su sabor...nada de eso.para colmo, el maitre tenia prisa por irse, cobrando a los comensales antes de pedir la cuenta.la atención tampoco fue buena,llegas solo al garaje y desde ahí te las apañas para que luego te traten como si fueses a un restaurante de 30 euros.El maridaje, para nosotros, otra decepción.Muy bueno el sake pero sinceramente un postre con cerveza como que no me apetece...y así todo",es,"A pity.The food without pity or glory, of a 3 star hotel you expect the dishes to urge you to want to repeat them, to remember their taste...none of that.to top it off, the maitre d' was in a hurry to leave, charging the diners before asking for the bill.the attention wasn't good either, you arrive alone in the garage and from there you manage to be treated as if you were going to a restaurant of 30 euros.The pairing, for us, another disappointment.Very good sake but sincerely a dessert with beer like I don't feel like it...and so on"
4,"La comida nada sorprendente y más bien aburrida. Se salvaban las basadas en productos de calidad excelente como la gamba de Palamos. Del servicio, la camarera correcta pero lo de la sumiller es increíble. En una carta de vinos que parece el libro gordo de Petete no había ni un sólo vino de Castilla la Mancha y se lo comentamos a la sumiller. ¿Cómo que no? Hay un montón!! contesto. Después de coger ella el libro y pasar páginas y no encontrar nos dijo que ""tenian de allí cerca!!"" De cerca ¿de donde? le preguntamos. De allí cerca insistía ella. ¿De Utiel-Requena quizás? le quisimos ayudar. Támpoco la debía conocer porque se despachó con ""De cerca...de la meseta...del norte"". Una similar de un restaurante de 3 estrellas!!! El amigo Jordi Cruz no debe medir por el mismo rasero a sus concursantes que a sus empleados. Por esto y por lo anodino de la comida me inclino por pensar que en agosto en Abac deben quedar sólo los empleados en prácticas . Mejor cerrar....pero quien renuncia a todas esas mesas llenas de turistas con buen billetero?",es,"The food is not surprising and rather boring. They saved those based on excellent quality products such as Palamos shrimp. From the service, the right waitress, but the sommelier thing is amazing. In a wine list that looks like Petete's big book there was not a single wine from Castilla la Mancha and we told the sommelier. What do you mean, no? There's a lot! I answer. After taking the book and turning pages and not finding it told us that ""they had from there close!!"" Up close, where? we asked him. Nearby she insisted. From Utiel-Requena perhaps? we wanted to help him. I shouldn't have known her either because she was dispatched with ""Up close...from the plateau...from the north."" A similar 3 star restaurant!!! The friend Jordi Cruz should not measure his contestants by the same standard as his employees. For this reason and for the nondescript of the food I am inclined to think that in August in Abac should remain only the employees in practice. Better to close...But who gives up all those tables full of tourists with a good wallet?"
5,"No he puesto las 5 estrellas porque, aunque la comida estaba buenísima, esperaba más. Quizá esperaba que los platos me sorprendieran más. El personal estuvo atento y nos explicó bien los platos y los vinos, aunque eché en falta poder despedirnos de los camareros al irnos. Por otro lado, el chef Jordi Cruz, pasó por todas mesas a saludar y a preguntar cómo había ido la experiencia.",es,"I didn't put the 5 stars on because, although the food was great, I expected more. Maybe I expected the dishes to surprise me more. The staff were attentive and explained the dishes and wines well, although I did not want to say goodbye to the waiters when we left. Chef Jordi Cruz, on the other hand, went through all tables to greet and ask how the experience had gone."
6,Menú degustación muy completo y sorpréndete. Va mejorando a medida que avanza el menú y está a la altura de las expectativas. El servicio muy bueno y agradable.,es,Very complete tasting menu and be surprised. It's getting better as the menu progresses and lives up to expectations. The service is very good and pleasant.
7,"Estuvimos mi mujer y yo fue un regalo para ella, le hacía mucha ilusión, no voy a comentar la comida ya que con mi experiencia y mi edad comprendo que todo son gustos y experiencias, pero hay cosas que no están a la altura Un servicio de 3 estrellas michelín desde que entra el cliente hasta el que sale por la puerta ha de ser excepcional, el sommelier fue maravilloso pero el maitre no está a la altura ya que cuando presentaba los platos aparte de parecer un robot siri sin mirarte a los ojos. Parecía que estaba en clase repitiendo una poesía sin mirar ni expresar cada vez tenía menos ilusión y en la despedía parecía un salón de bodas.Por otro lado el salón tenía las cortinas descolgada de la cristaleramuy mal La música muy alta, mejor sin música y al cobrar más 250€por persona una despedida insípida. Muy mal servicio",es,"My wife was there and I was a gift for her, I was very excited, I won't comment on the food since with my experience and my age I understand that everything is tastes and experiences, but there are things that are not up to scratch A 3 star michelín service from the customer enters until the one that leaves through the door has to be exceptional, the sommelier was wonderful but the maitre is not up to it since when he presented the dishes apart from looking like a robot siri without looking into your eyes. It seemed that I was in class repeating a poetry without looking or expressing each time had less illusion and in the farewell seemed a wedding hall.On the other hand the salon had the curtains off the glass very badly The music very high, better without music and when charging more 250€per person a tasteless farewell. Very bad service"
8,"Me habría encantado poner 5 estrellas, pero soy celíaca y lo cierto es que, en ese sentido, he percibido fallos enormes.Notifiqué mi intolerancia al gluten en el momento de la reserva. En cuanto llegué al restaurante volví a recordarlo.Solicité maridaje de vinos y... ¡me sirvieron cerveza! (con cebada y, por tanto, gluten). Con uno de los postres, justo antes de meterme la cuchara a la boca, vino un camarero corriendo a quitármelo porque contenía gluten.Mientras al resto de comensales les sirven un pan elaborado por ellos de masa madre, a mí me pusieron un pan pequeño y descongelado (por cierto, mal descongelado y tuvieron que meterlo de nuevo en el horno).Aparte de todo eso, igual que le sucedió a la mujer alérgica al queso que ha escrito otra reseña, no me sustituyeron lo que contenía gluten de los platos. No había alternativa, simplemente lo quitaban. Es más, uno de los platos del menú ni me lo trajeron. Al quejarme de todo esto al final del servicio optaron por descontarme 30€ de la cuenta.Un restaurante de tres estrellas Michelín no puede cometer este tipo de errores con una intolerancia alimenticia. Primero y más importante porque está en juego la salud. Segundo porque, como celíaca, tengo igual derecho que todos los comensales a disfrutar de la misma cantidad de platos.",es,"I would have loved to put on 5 stars, but I am celiac and the truth is that, in that sense, I have perceived huge failures.I reported my intolerance to gluten at the time of booking. As soon as I got to the restaurant I remembered again. I asked for wine pairing and... they served me beer! (with barley and therefore gluten). With one of the desserts, just before I put the spoon in my mouth, a waiter came running to take it away because it contained gluten.While the rest of the diners are served a bread made by them from sourdough, I was put on a small and defrosted bread (by the way, badly defrosted and they had to put it back in the oven).Apart from all that, just as happened to the woman allergic to cheese who has written another review, I was not substituted for what contained gluten from the dishes. There was no alternative, they just took it away. What's more, one of the dishes on the menu didn't even bring it to me. When I complained about all this at the end of the service, they chose to deduct 30€ from my bill. A three-star Michelin restaurant cannot make such mistakes with a food intolerance. First and foremost because health is at stake. Secondly, as a celiac, I have the same right as all the guests to enjoy the same amount of dishes."
9,"cocina de fusión poco sorprendente, incluso insulsos algunos platos, como por ejemplo la gamba, y la ostra.  precios de bodega absolutamente abusivos. servicio mejorable. tal vez me hice demasiadas expectativas...esperaba disfrutar mas de los platos.",es,"unsurprisingly fusion cuisine, even some dishes, such as shrimp, and oyster are insulted.  absolutely abusive winery prices. improved service. maybe i got too much expectation...i was hoping to enjoy more of the dishes."
